official_order,scenario,scenario_group,is_baseline,active_in_collector,recorded_trip_count,recorded_trip_pct,observed_event_count,trip_ids,maps,weather_modes,time_of_day_modes,retained_frames,duration_sec,coverage_status,interpretation,source_files
0,none,baseline,true,true,48,0.96,0,T14-Sample;T15-Sample;T16-Sample;T17-Sample;T18-Sample;T19-Sample;T20-Sample;T21-Sample;T23-Sample;T24-Sample;T25-Sample;T26-Sample;T27-Sample;T28-Sample;T29-Sample;T30-Sample;T31-Sample;T32-Sample;T33-Sample;T34-Sample;T35-Sample;T36-Sample;T37-Sample;T38-Sample;T39-Sample;T40-Sample;T41-Sample;T42-Sample;T43-Sample;T44-Sample;T45-Sample;T46-Sample;T48-Sample;T49-Sample;T50-Sample;T51-Sample;T52-Sample;T53-Sample;T54-Sample;T55-Sample;T56-Sample;T57-Sample;T58-Sample;T59-Sample;T60-Sample;T61-Sample;T62-Sample;T63-Sample,Town10HD,clear_day;dawn;dusk;dust;fog;night;overcast;rain;storm,day;night;twilight,21743,1087.15,baseline_or_downgraded,Includes true baseline trips and scenarios downgraded to none when event evidence was insufficient; planned scenario requires runner logs.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
11,vehicle_cut_in_slow,adjacent_vehicle,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
12,reckless_cut_in_brake,adjacent_vehicle,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
13,weaving_vehicle,adjacent_vehicle,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
14,motorcycle_cut_in,motorcycle,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
15,motorcycle_cut_in_brake,motorcycle,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
16,motorcycle_weave,motorcycle,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
17,pedestrian_jaywalk,pedestrian,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
18,pedestrian_sprint,pedestrian,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
19,pedestrian_hesitate,pedestrian,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
20,pedestrian_stop_in_lane,pedestrian,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
21,oncoming_intrusion,oncoming_vehicle,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
22,oncoming_brake,oncoming_vehicle,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
