Evidence,Priority,Ten hang muc,Trang thai tong,Chi tiet trang thai,File bao cao chinh,Phu thuoc con lai,Ngay cap nhat
E-32,P1,Pilot protocol va KPI,PARTIAL,Protocol pre-registered COMPLETE 4 giai doan + KPI pre-defined - doi tac fleet NOT STARTED,evidence/E-32/reports/source_report.md,Tim va ky ket doi tac fleet,8/10/2026
E-33,P1,Baseline va ROI model,PARTIAL,Model 3 kich ban COMPLETE + nguon BOM tu E-30 - baseline log PENDING E-32,evidence/E-33/reports/source_report.md,Ket qua pilot tu E-32,8/10/2026
E-34,P1,Safety va privacy deployment gates,PARTIAL,Policy draft COMPLETE (can cu ND 13/2023/ND-CP) - tabletop review va phe duyet NOT STARTED,evidence/E-34/reports/source_report.md,Chi dinh approver + tabletop review,8/10/2026
E-35,P1,Index va kha nang truy cap artifact,PARTIAL,Da map 6 file moi - access_test.csv can sua link bia - con phu thuoc E-31 va E-34,evidence/E-35/reports/source_report.md,sha256sum that + upload video demo + dien link Phu luc C,8/10/2026
E-36,P2,Long-run load test,PARTIAL,Short load smoke da chay - 4-8 gio long-run chua thuc hien,evidence/E-36/reports/source_report.md,Chay 4-8 gio long-run load test,8/10/2026
E-37,P2,Calibration audit,PARTIAL,Calibration artifacts ton tai - audit chua chay lai - owner/BTC approval khong claim,evidence/E-37/reports/source_report.md,Chay lai calibration audit + owner approval,8/10/2026
E-38,P2,Ma tran CARLA scenario-to-event,PARTIAL,scenario_matrix.csv ton tai - chua co source_report.md chuan,evidence/E-38/derived/scenario_matrix.csv,source_report.md chuan + kiem tra do day du matrix,8/10/2026
E-39,P2,Human-factors review warning UX,NOT EXECUTED,Khong claim outcome - claim control only,evidence/E-39/reports/source_report.md,Quyet dinh cua owner co chay human-factors test hay khong,8/10/2026
E-40,P2,So sanh thoi gian review co/khong Copilot,NOT EXECUTED,Khong claim review-time improvement,evidence/E-40/reports/source_report.md,Quyet dinh cua owner co do thoi gian review hay khong,8/10/2026
E-41,P2,Multi-instance failover durable architecture,DONE (ASSESSMENT ONLY),Danh gia hoan chinh - ket luan CHUA SAN SANG cho multi-instance - day la ket qua dung khong phai thieu sot,evidence/E-41/reports/source_report.md,Khong con phu thuoc (da ro gioi han),8/10/2026
E-42,P2,Domain gap va model drift,NOT ENOUGH DATA,Drift khong tinh vi khong co target-domain dataset that co consent - khong tao PSI/KS gia,evidence/E-42/reports/source_report.md,Target-domain dataset that + consent + PSI/KS script,8/10/2026
